,Total Arrests,Violent Crime,property Crime,Murder and Manslaughter,Rape,Robbery,Aggravated Assault,State
0,154482.0,6187.0,18479.0,312.0,384.0,1177.0,4314.0,ALABAMA  
1,29462.0,2298.0,3495.0,41.0,130.0,282.0,1845.0,ALASKA
2,263699.0,11145.0,37592.0,242.0,344.0,1849.0,8710.0,ARIZONA
3,132165.0,4860.0,13791.0,143.0,289.0,561.0,3867.0,ARKANSAS
4,1118712.0,106828.0,115354.0,1437.0,2560.0,15866.0,86965.0,CALIFORNIA 
5,225710.0,6691.0,29879.0,150.0,414.0,941.0,5186.0,COLORADO
6,100280.0,3741.0,14845.0,62.0,222.0,1016.0,2441.0,CONNECTICUT
7,33553.0,2224.0,7165.0,29.0,58.0,526.0,1611.0,DELAWARE
8,10271.0,161.0,132.0,1.0,2.0,94.0,64.0,DISTRICT OF COLUMBIA5
9,726396.0,35807.0,102639.0,642.0,1747.0,6521.0,26897.0,"FLORIDA6, 7"
10,238684.0,11105.0,32573.0,403.0,274.0,2018.0,8410.0,GEORGIA
11,42301.0,1341.0,4426.0,35.0,154.0,294.0,858.0,HAWAII
12,46962.0,1279.0,4955.0,23.0,99.0,79.0,1078.0,IDAHO
13,67983.0,4030.0,12623.0,287.0,276.0,1631.0,1836.0,ILLINOIS6
14,143554.0,7323.0,19954.0,160.0,193.0,1325.0,5645.0,INDIANA
15,95962.0,4876.0,13033.0,55.0,154.0,396.0,4271.0,IOWA
16,53823.0,1948.0,4899.0,50.0,126.0,205.0,1567.0,KANSAS
17,210586.0,3487.0,18219.0,185.0,236.0,1122.0,1944.0,KENTUCKY
18,191920.0,11372.0,32355.0,339.0,499.0,1646.0,8888.0,LOUISIANA
19,43473.0,774.0,5668.0,16.0,61.0,139.0,558.0,MAINE
20,182631.0,9737.0,25715.0,270.0,403.0,3223.0,5841.0,MARYLAND
21,119180.0,9656.0,14973.0,58.0,303.0,1263.0,8032.0,MASSACHUSETTS
22,255900.0,12163.0,26295.0,166.0,760.0,1467.0,9770.0,MICHIGAN
23,135455.0,5404.0,25116.0,103.0,565.0,1155.0,3581.0,MINNESOTA
24,76489.0,1588.0,8209.0,117.0,84.0,450.0,937.0,MISSISSIPPI
25,240878.0,10223.0,34373.0,339.0,516.0,1926.0,7442.0,MISSOURI
26,30550.0,1114.0,4883.0,14.0,48.0,69.0,983.0,MONTANA
27,68310.0,1912.0,10124.0,40.0,259.0,296.0,1317.0,NEBRASKA
28,125932.0,8351.0,10450.0,166.0,257.0,1905.0,6023.0,NEVADA
29,47282.0,874.0,3975.0,5.0,58.0,179.0,632.0,NEW HAMPSHIRE
30,294972.0,10001.0,26736.0,198.0,396.0,3000.0,6407.0,NEW JERSEY
31,77509.0,4007.0,10421.0,66.0,118.0,360.0,3463.0,NEW MEXICO
32,271780.0,13238.0,49196.0,255.0,1091.0,3280.0,8612.0,NEW YORK6
33,231449.0,11607.0,36802.0,497.0,273.0,2610.0,8227.0,NORTH CAROLINA
34,34817.0,743.0,3563.0,14.0,45.0,76.0,608.0,NORTH DAKOTA
35,213801.0,6683.0,33524.0,189.0,481.0,1847.0,4166.0,OHIO
36,112401.0,4653.0,15856.0,183.0,207.0,649.0,3614.0,OKLAHOMA
37,131085.0,3715.0,19456.0,66.0,146.0,767.0,2736.0,OREGON
38,350797.0,18416.0,50837.0,377.0,1003.0,4820.0,12216.0,PENNSYLVANIA
39,27494.0,896.0,2881.0,18.0,85.0,143.0,650.0,RHODE ISLAND
40,158298.0,6929.0,24138.0,293.0,411.0,1200.0,5025.0,SOUTH CAROLINA
41,47214.0,1291.0,3554.0,23.0,44.0,57.0,1167.0,SOUTH DAKOTA
42,339280.0,16142.0,37897.0,301.0,291.0,1936.0,13614.0,TENNESSEE
43,820979.0,31989.0,95012.0,889.0,2311.0,7056.0,21733.0,TEXAS
44,102988.0,2252.0,16044.0,50.0,258.0,413.0,1531.0,UTAH
45,8062.0,314.0,1049.0,4.0,28.0,23.0,259.0,VERMONT
46,271921.0,7410.0,30793.0,351.0,480.0,1755.0,4824.0,VIRGINIA
47,171211.0,7778.0,30229.0,107.0,491.0,1665.0,5515.0,WASHINGTON
48,39742.0,1905.0,5826.0,41.0,101.0,157.0,1606.0,WEST VIRGINIA
49,261400.0,7556.0,31446.0,244.0,781.0,1570.0,4961.0,WISCONSIN
50,28213.0,500.0,2577.0,13.0,33.0,19.0,435.0,WYOMING
