,Population,Violent Crime,Murder and Manslaughter,Rape (Revised Defintion),Rape (Legacy Definition),Robbery,Aggravated Assult,Property Crime,Burglary,Larceny and Theft,Motor Vehicle Theft,State
0,4863300,25886,407,1916.0,1385.0,4686.0,18877,143362,34065,97574.0,11723.0,ALABAMA
1,741894,5966,52,1053.0,757.0,850.0,4011,24876,4053,17766.0,3057.0,ALASKA
2,6931071,32583,380,3290.0,2452.0,7055.0,21858,206432,37736,150275.0,18421.0,ARIZONA
3,2988248,16461,216,2143.0,1545.0,2120.0,11982,97673,23771,66747.0,7155.0,ARKANSAS
4,39250017,174796,1930,13702.0,10149.0,54789.0,104375,1002070,188304,637010.0,176756.0,CALIFORNIA
5,5540545,18983,204,3555.0,2619.0,3528.0,11696,151850,23903,108336.0,19611.0,COLORADO
6,3576452,8123,78,763.0,561.0,2703.0,4579,64664,10045,47512.0,7107.0,CONNECTICUT
7,952065,4844,56,308.0,221.0,1359.0,3121,26334,5023,19791.0,1520.0,DELAWARE
8,681170,8214,139,532.0,401.0,3480.0,4063,32716,2361,27382.0,2973.0,DISTRICT OF COLUMBIA
9,20612439,88700,1111,7598.0,5528.0,20175.0,59816,553812,100325,410352.0,43135.0,FLORIDA
10,10310371,40990,681,3509.0,2528.0,12205.0,24595,309770,63344,219625.0,26801.0,GEORGIA
11,1428557,4417,35,619.0,447.0,994.0,2769,42753,6017,31082.0,5654.0,HAWAII
12,1683140,3876,49,719.0,529.0,213.0,2895,29357,6318,20962.0,2077.0,IDAHO
13,12801539,55854,1054,4908.0,3635.0,17827.0,32065,262306,47989,194407.0,19910.0,ILLINOIS
14,6633053,26845,439,2501.0,1851.0,7330.0,16575,171759,34097,122931.0,14731.0,INDIANA
15,3134693,9110,71,1247.0,922.0,1148.0,6644,65391,15030,45378.0,4983.0,IOWA
16,2907289,11060,111,1312.0,971.0,1671.0,7966,78367,14364,57066.0,6937.0,KANSAS
17,4436974,10308,260,1641.0,1174.0,3369.0,5038,97158,20834,66438.0,9886.0,KENTUCKY
18,4681666,26502,554,1816.0,1328.0,5576.0,18556,154386,34667,109380.0,10339.0,LOUISIANA
19,1331479,1648,20,412.0,300.0,266.0,950,21912,4003,17134.0,775.0,MAINE
20,6016447,28400,481,1756.0,1266.0,10289.0,15874,137445,24692,100919.0,11834.0,MARYLAND
21,6811779,25677,134,2128.0,1592.0,5365.0,18050,106339,19193,79088.0,8058.0,MASSACHUSETTS
22,9928300,45572,598,7125.0,5114.0,7120.0,30729,189620,39568,129876.0,20176.0,MICHIGAN
23,5519952,13394,101,2348.0,1731.0,3728.0,7217,117756,18606,90422.0,8728.0,MINNESOTA
24,2988726,8383,238,1277.0,905.0,2397.0,4471,82732,23354,55054.0,4324.0,MISSISSIPPI
25,6093000,31644,537,2554.0,1884.0,6570.0,21983,170549,31710,120544.0,18295.0,MISSOURI
26,1042520,3840,36,578.0,414.0,266.0,2960,27976,3934,21299.0,2743.0,MONTANA
27,1907116,5550,49,994.0,738.0,946.0,3561,43163,6444,31994.0,4725.0,NEBRASKA
28,2940058,19936,224,1733.0,1292.0,6340.0,11639,76047,18850,44017.0,13180.0,NEVADA
29,1334795,2637,17,582.0,423.0,427.0,1611,20194,2963,16360.0,871.0,NEW HAMPSHIRE
30,8944469,21914,372,1453.0,1089.0,8984.0,11105,138152,25284,101540.0,11328.0,NEW JERSEY
31,2081015,14619,139,1526.0,1117.0,2737.0,10217,81931,17281,52907.0,11743.0,NEW MEXICO
32,19745289,74285,630,6260.0,4569.0,22316.0,45079,305181,39821,250968.0,14392.0,NEW YORK
33,10146788,37769,678,2849.0,2086.0,9336.0,24906,277765,72082,190377.0,15306.0,NORTH CAROLINA
34,757952,1903,15,342.0,256.0,181.0,1365,17402,3243,12195.0,1964.0,NORTH DAKOTA
35,11614373,34877,654,5589.0,4141.0,12523.0,16111,299357,66883,212807.0,19667.0,OHIO
36,3923561,17648,245,2039.0,1509.0,3162.0,12202,117037,29103,75779.0,12155.0,OKLAHOMA
37,4093465,10830,113,1721.0,1261.0,2278.0,6718,121345,16866,91286.0,13193.0,OREGON
38,12784227,40447,661,4433.0,3233.0,12326.0,23027,222795,35520,174228.0,13047.0,PENNSYLVANIA
39,3411307,7643,679,169.0,128.0,3201.0,3594,35201,8251,23163.0,3787.0,PUERTO RICO
40,1056426,2524,29,442.0,328.0,540.0,1513,20058,3788,14674.0,1596.0,RHODE ISLAND
41,4961119,24896,366,2387.0,1711.0,4035.0,18108,160928,32976,114032.0,13920.0,SOUTH CAROLINA
42,865454,3621,27,509.0,379.0,272.0,2813,17141,3000,12639.0,1502.0,SOUTH DAKOTA
43,6651194,42097,486,2714.0,1991.0,7813.0,31084,189835,40312,134404.0,15119.0,TENNESSEE
44,27862596,121042,1478,13367.0,9858.0,33317.0,72880,768947,148740,551151.0,69056.0,TEXAS
45,3051217,7407,72,1520.0,1116.0,1541.0,4274,90058,12836,67834.0,9388.0,UTAH
46,624594,989,14,178.0,124.0,106.0,691,10602,2103,8217.0,282.0,VERMONT
47,8411808,18302,484,2737.0,1965.0,4803.0,10278,156412,20018,126606.0,9788.0,VIRGINIA
48,7288000,22023,195,3077.0,2259.0,5651.0,13100,254653,49180,173187.0,32286.0,WASHINGTON
49,1831102,6557,81,657.0,468.0,720.0,5099,37487,9301,25677.0,2509.0,WEST VIRGINIA
50,5778708,17679,229,1979.0,1458.0,4706.0,10765,111720,19425,82337.0,9958.0,WISCONSIN
51,585501,1430,20,205.0,150.0,59.0,1146,11460,1771,8889.0,800.0,WYOMING
