,Year,Population,Violent Crime,Murder and Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny and Theft,Motor Vehicle Theft
0,1997,267783607.0,1636096.0,18208.0,96153.0,498534.0,1023201.0,11558475.0,2460526,7743760.0,1354189.0
1,1998,270248003.0,1533887.0,16974.0,93144.0,447186.0,976583.0,10951827.0,2332735,7376311.0,1242781.0
2,1999,272690813.0,1426044.0,15522.0,89411.0,409371.0,911740.0,10208334.0,2100739,6955520.0,1152075.0
3,2000,281421906.0,1425486.0,15586.0,90178.0,408016.0,911706.0,10182584.0,2050992,6971590.0,1160002.0
4,2001,285317559.0,1439480.0,16037.0,90863.0,423557.0,909023.0,10437189.0,2116531,7092267.0,1228391.0
5,2002,287973924.0,1423677.0,16229.0,95235.0,420806.0,891407.0,10455277.0,2151252,7057379.0,1246646.0
6,2003,290788976.0,1383676.0,16528.0,93883.0,414235.0,859030.0,10442862.0,2154834,7026802.0,1261226.0
7,2004,293656842.0,1360088.0,16148.0,95089.0,401470.0,847381.0,10319386.0,2144446,6937089.0,1237851.0
8,2005,296507061.0,1390745.0,16740.0,94347.0,417438.0,862220.0,10174754.0,2155448,6783447.0,1235859.0
9,2006,299398484.0,1435123.0,17309.0,94472.0,449246.0,874096.0,10019601.0,2194993,6626363.0,1198245.0
10,2007,301621157.0,1422970.0,17128.0,92160.0,447324.0,866358.0,9882212.0,2190198,6591542.0,1100472.0
11,2008,304059724.0,1394461.0,16465.0,90750.0,443563.0,843683.0,9774152.0,2228887,6586206.0,959059.0
12,2009,307006550.0,1325896.0,15399.0,89241.0,408742.0,812514.0,9337060.0,2203313,6338095.0,795652.0
13,2010,309330219.0,1251248.0,14722.0,85593.0,369089.0,781844.0,9112625.0,2168459,6204601.0,739565.0
14,2011,311587816.0,1206005.0,14661.0,84175.0,354746.0,752423.0,9052743.0,2185140,6151095.0,716508.0
15,2012,313873685.0,1217057.0,14856.0,85141.0,355051.0,762009.0,9001992.0,2109932,6168874.0,723186.0
16,2013,316497531.0,1168298.0,14319.0,82109.0,345093.0,726777.0,8651892.0,1932139,6019465.0,700288.0
17,2014,318907401.0,1153022.0,14164.0,84864.0,322905.0,731089.0,8209010.0,1713153,5809054.0,686803.0
18,2015,320896618.0,1199310.0,15883.0,91261.0,328109.0,764057.0,8024115.0,1587564,5723488.0,713063.0
19,2016,323127513.0,1248185.0,17250.0,95730.0,332198.0,803007.0,7919035.0,1515096,5638455.0,765484.0
