,Population,Total Officers,State
0,2103407.0,6750.0,ALASKA
1,179254.0,703.0,ARIZONA
2,5356334.0,12045.0,ARKANSAS
3,1837728.0,5106.0,CALIFORNIA
4,27057725.0,52108.0,COLORADO
5,4001608.0,9484.0,CONNECTICUT
6,3041409.0,7546.0,DELAWARE
7,261377.0,984.0,DISTRICT OF COLUMBIA
8,0.0,0.0,FLORIDA
9,8731368.0,24920.0,GEORGIA
10,3064492.0,9369.0,HAWAII
11,0.0,0.0,IDAHO
12,994607.0,1898.0,ILLINOIS
13,6784706.0,21860.0,INDIANA
14,1833467.0,4053.0,IOWA
15,2015858.0,3570.0,KANSAS
16,2133779.0,4793.0,KENTUCKY
17,694411.0,1686.0,LOUISIANA
18,1861906.0,6505.0,MAINE
19,841258.0,1921.0,MARYLAND
20,,5092.0,MASSACHUSETTS
21,6313106.0,15463.0,MICHIGAN
22,6206156.0,11927.0,MINNESOTA
23,3924293.0,6869.0,MISSISSIPPI
24,615631.0,2119.0,MISSOURI
25,3724223.0,11231.0,MONTANA
26,464399.0,930.0,NEBRASKA
27,1209375.0,2429.0,NEVADA
28,2530711.0,6578.0,NEW HAMPSHIRE
29,1232329.0,2810.0,NEW JERSEY
30,8570196.0,23823.0,NEW MEXICO
31,710122.0,2050.0,NEW YORK
32,13934665.0,64500.0,NORTH CAROLINA
33,5447502.0,14875.0,NORTH DAKOTA
34,516039.0,987.0,OHIO
35,4272349.0,10526.0,OKLAHOMA
36,2887158.0,6803.0,OREGON
37,,4646.0,PENNSYLVANIA
38,9663887.0,21230.0,RHODE ISLAND
39,1033653.0,2583.0,SOUTH CAROLINA
40,1664943.0,5847.0,SOUTH DAKOTA
41,473182.0,924.0,TENNESSEE
42,3862110.0,11113.0,TEXAS
43,18921100.0,44443.0,UTAH
44,2263586.0,3408.0,VERMONT
45,346782.0,779.0,VIRGINIA
46,3034245.0,8596.0,WASHINGTON
47,4606149.0,8540.0,WEST VIRGINIA
48,595139.0,1661.0,WISCONSIN
49,3906067.0,9387.0,WYOMING
50,366634.0,932.0,
